Company,Sector,Continent
"POSCO CHEMICAL CO.,LTD.",Others,Asia
ODP CORPORATION,Others,North America
CORNING INC,Others,North America
ADIDAS AG,Others,Europe
PROCTER & GAMBLE CO,Others,North America
WOLFORD AG,Others,Europe
"FOSSIL GROUP, INC.",Others,North America
MATTEL INC,Others,North America
CLOROX CO,Others,North America
SALZGITTER AG,Others,Europe
PPG INDUSTRIES INC,Others,North America
HASBRO INC,Others,North America
HELEN OF TROY LIMITED,Others,North America
FUJIFILM HOLDINGS CORPORATION,Others,Asia
PITNEY BOWES INC,Others,North America
LVMH MOET HENNESSY LOUIS VUITTON,Others,Europe
SANDERSON FARMS INC,Others,North America
MASCO CORP,Others,North America
"AMAZON.COM, INC.",Others,North America
CALLAWAY GOLF CO,Others,North America
DEUTSCHE POST AG,Others,Europe
AMERICAN TOWER CORPORATION,Others,North America
OMNICOM GROUP INC,Others,North America
SUMITOMO HEAVY INDUSTRIES LTD,Others,Asia
EBAY INC,Others,North America
NIPPON STEEL CORPORATION,Others,Asia
TENARIS S.A.,Others,Europe
"CROWN HOLDINGS, INC.",Others,North America
WHIRLPOOL CORP,Others,North America
JSR CORPORATION,Others,Asia
HOCHTIEF AG,Others,Europe
EQUINIX INC,Others,North America
KIMBERLY CLARK CORP,Others,North America
WPP PLC (NEW),Others,Europe
UNITED PARCEL SERVICE INC,Others,North America
